SAMPLE_ID,AGRN,ARHGEF10,ATP13A2,CFD,CHD3,CHIC1,ELANE,FNDC3B,GLB1,ITFG1,LPPR3,LTK,MAP3K1,MICALL2,MPO,OSBPL5,PPP1R26,SLC25A29,SLC29A2
aml_ohsu_2018_15-00029,-0.9383,1.7215,1.0282,0.0558,0.0879,0.6207,0.8664,0.6253,0.6016,0.0505,0.533,-1.0464,-1.2439,-0.0406,0.7909,0.1123,0.049,-0.7249,0.916
aml_ohsu_2018_16-00498,1.9333,-0.2839,-0.4453,1.1025,-1.8459,-4.5041,0.8498,2.0271,1.4033,1.1892,0.8473,1.3443,1.4349,0.8244,1.0049,1.3931,0.7313,1.0672,0.4431
aml_ohsu_2018_14-00141,0.5146,-1.9667,-2.3362,0.6355,1.072,0.2321,-1.2607,-0.2903,-0.3325,0.7522,0.7398,0.7454,-0.5118,0.0292,0.5279,-0.1764,0.8693,0.7012,0.5012
TCGA-AB-2978-03,-0.5504,0.9108,-0.9232,-0.3811,-0.4248,0.8412,0.2811,-0.5137,-0.2472,-0.5896,-0.2991,-0.5395,-0.6028,-0.8495,-0.4212,-1.1212,-0.3074,-0.7756,0.4021
aml_ohsu_2018_16-00067,0.4282,-0.4897,0.0547,0.3024,-0.3891,-0.1916,0.2943,-0.3374,1.5046,0.3693,-0.1208,0.3468,0.5986,-1.1439,0.362,-0.3252,0.5703,-0.8812,-0.0255
TCGA-AB-2938-03,-0.4009,1.7191,0.0499,-0.7543,1.7994,0.6089,-0.4471,-0.766,-1.4327,1.1203,-0.905,-0.1992,-0.8519,0.0197,-0.6408,-0.9307,0.2193,-0.5929,-0.1809
TCGA-AB-2868-03,-0.3947,1.4461,0.2969,-0.596,0.6778,1.3282,-0.1622,-0.225,-0.7832,-0.1389,-0.0919,-0.5025,-0.8943,-0.7844,-0.2047,-0.7278,-0.8914,-0.1725,0.9857
aml_ohsu_2018_15-00045,0.122,-1.412,-0.6496,0.5147,-1.9213,-4.5041,0.8498,0.0599,0.978,1.541,0.3154,0.7163,0.6607,0.5196,0.8334,0.1376,0.354,0.3394,-2.9355
TCGA-AB-2975-03,-0.5562,-0.3514,-1.1066,-0.0682,-0.5752,0.4141,-0.1834,0.5996,0.1495,-0.8181,0.1763,-0.5079,-0.3553,0.227,0.2404,-0.5417,0.5012,-0.6871,0.874
aml_ohsu_2018_14-00739,-2.2021,-1.9667,0.6046,0.6149,0.793,0.3102,0.159,-0.3815,0.3795,0.8747,0.8775,0.8564,-1.1983,0.711,0.276,0.1302,0.4672,0.6924,0.5897
TCGA-AB-2890-03,-0.5883,-0.3879,0.2924,-0.6986,1.3824,0.6297,-0.4527,-0.851,-1.3322,-0.4028,-0.9003,-0.434,0.5044,-0.8879,-0.6491,-0.7867,-1.2067,-0.0064,-0.3363
aml_ohsu_2018_14-00193,0.1629,-1.3109,0.116,-0.6237,1.0293,0.1613,-0.8086,-1.0209,-1.4364,-1.0106,-1.7407,0.0483,1.0722,-0.0228,0.6836,-0.7343,-2.7899,0.6378,0.6729
aml_ohsu_2018_13-00466,-0.3822,0.6913,-0.4322,-1.6438,0.4617,1.4472,-4.0524,-0.6475,-1.9682,-2.5905,-4.4497,0.1649,0.3513,-1.7668,-4.1367,-0.3792,-1.8901,-3.7124,1.1684
aml_ohsu_2018_14-00135,-1.7023,-0.9357,1.1677,-0.7608,0.3303,-0.1168,0.8664,0.4257,0.3143,0.5658,-0.1339,-2.7054,0.1,-0.1781,0.521,0.2663,-3.4074,-0.1864,0.889
TCGA-AB-2986-03,-0.5396,-0.473,0.001,-0.4524,-1.7981,-0.3325,-0.4428,-0.4799,-0.4101,-1.249,0.7568,-0.1471,-1.201,-0.4566,-0.6077,-0.2604,-0.342,0.0706,-0.5959
TCGA-AB-2821-03,-0.3989,1.5727,-0.341,-0.4316,0.4409,1.6077,-0.0966,-0.167,-0.5114,-0.261,-0.7509,-0.5433,-0.6161,-1.0277,-0.4033,-0.7677,0.1657,0.5589,0.8157
TCGA-AB-2806-03,-0.5509,-0.3341,-1.6265,-0.5475,-0.9735,0.6505,-0.19,0.8229,-0.7938,0.4287,-0.1275,-0.0477,1.2876,-1.0395,0.694,-0.6389,-0.8004,-0.3938,-0.6713
TCGA-AB-2859-03,-0.311,-0.4385,1.0359,-0.3755,-0.1351,1.5409,-0.4136,0.0705,-0.2496,1.0089,-0.1166,-0.0323,-0.6291,0.6713,-0.6305,0.0647,0.7132,0.2634,0.0699
aml_ohsu_2018_14-00259,0.2305,-1.9667,0.1777,0.9613,-0.2343,-0.4432,0.2273,0.7745,0.8821,0.7649,0.294,0.2831,1.3036,0.7178,0.0945,0.1459,0.7566,-0.1726,-0.8394
TCGA-AB-2921-03,-0.4441,-0.0467,1.012,0.476,0.0715,-0.064,-0.3407,-0.4592,1.1621,0.3478,0.0244,0.5949,-0.5163,-0.3206,-0.6345,-0.024,-1.1804,-0.0452,0.5144
aml_ohsu_2018_14-00096,-0.318,0.4376,1.201,-0.888,-1.4214,0.7966,-2.9915,-0.5631,-0.8622,-1.6523,-3.5362,-1.7307,-0.2871,-1.8089,-2.1437,-1.7751,0.6829,1.0215,1.0132
TCGA-AB-2903-03,-0.4316,-0.2191,-0.5713,-0.4513,0.181,0.0309,-0.4012,-0.2777,-1.2479,-0.371,0.5973,-0.4951,1.3101,-1.1083,-0.5749,-0.1657,2.2897,-0.7143,-0.3871
aml_ohsu_2018_14-00175,0.329,-0.3336,-0.7983,0.5759,0.3445,0.865,-0.8912,-0.326,-1.8568,-1.6288,-2.3856,0.6481,0.5705,-2.1627,-1.8654,-0.4865,-1.4443,-1.5291,1.2635
TCGA-AB-2886-03,-0.3787,-0.5096,-1.2806,-0.4378,-0.4593,-1.2757,-0.0583,0.2706,-0.6944,-0.3932,-0.043,0.3443,0.5269,1.0798,0.4622,0.1253,-1.0885,2.2846,-0.6003
TCGA-AB-2977-03,-0.3727,-0.4855,-0.1401,3.4115,0.0502,-0.3979,0.0245,-0.7607,0.3275,-1.4575,2.0781,-0.1344,-1.2256,0.8494,-0.3676,0.5311,0.9876,1.8573,-0.0771
TCGA-AB-2999-03,1.4507,-0.189,-1.0691,1.4703,-0.8713,-0.9271,2.1704,1.7943,-0.8146,-0.0436,0.8114,3.4309,1.7266,2.3478,2.3871,1.0063,1.691,3.7156,-0.1812
TCGA-AB-2857-03,-0.3884,0.4654,-0.0355,-0.7544,-1.0126,1.0808,-0.1992,-0.4694,-0.5357,-0.8455,-0.7202,-0.5228,-1.1336,-0.2144,-0.0911,-0.8684,-0.5289,0.3546,0.4443
aml_ohsu_2018_16-00519,0.5502,-0.2535,-0.0368,-2.2082,0.5616,-4.5041,-0.3871,-0.0015,0.0518,0.2231,-0.6842,0.8127,-1.0601,0.6771,0.8582,1.3683,0.5848,1.5531,-2.9355
TCGA-AB-2833-03,-0.6104,-0.2549,-0.319,-0.388,-0.5176,-1.3498,-0.3982,-0.8307,0.4563,-0.0606,-0.8893,-0.5396,0.0487,-0.7811,-0.6446,-1.1456,-1.1442,-1.0797,-0.319
aml_ohsu_2018_16-01223,-2.55,0.0338,1.6647,-3.397,1.4911,0.8624,-5.2257,-1.5726,-1.6053,0.5808,-4.4497,-3.2554,-3.1706,-2.529,-2.7041,-5.1092,-2.8162,0.3553,0.5387
aml_ohsu_2018_15-00653,0.1439,-1.9667,-2.0034,0.7516,1.4463,0.5301,0.7626,0.9289,-0.2639,-0.571,1.1908,-0.0815,2.2694,0.4728,0.6086,1.624,0.7301,0.4364,-0.2817
aml_ohsu_2018_15-00610,1.0625,-0.4821,-0.9578,0.7836,0.0306,-0.6904,0.7742,0.7029,-1.0501,-0.2992,0.5179,0.2387,0.944,0.3965,0.8111,-0.2937,0.0903,0.1694,-0.181
aml_ohsu_2018_16-01216,0.9141,-1.9667,-0.9033,0.7312,-0.5296,0.5596,-0.5393,0.0815,-0.3591,-0.6456,0.1459,-0.2169,1.1057,0.5395,0.0901,0.2468,-0.2287,0.4675,0.2459
TCGA-AB-2899-03,-0.5427,1.0645,1.1621,-0.6144,1.1342,0.0708,-0.3357,-0.771,-1.0192,-0.8707,-0.7669,-0.4633,0.0813,-0.9287,-0.644,-0.8059,-1.1985,-0.821,-0.2055
aml_ohsu_2018_16-00289,0.726,-0.189,-0.6225,0.7841,0.4211,-0.5436,0.4981,0.6376,-0.5714,-0.4396,1.1269,0.8822,1.5069,0.1128,0.273,0.701,1.0298,1.6391,0.9361
TCGA-AB-2839-03,-0.4874,-0.5382,0.1019,-0.7338,-0.2153,0.6066,-0.4522,-0.4202,-0.7846,0.6011,-0.461,-0.004,-0.6306,-0.0559,-0.5664,-0.5973,-1.2995,-0.8467,-0.6002
aml_ohsu_2018_15-00680,0.7371,-1.9667,-0.3213,0.9456,-0.4034,0.4113,0.0025,0.7224,1.2323,-0.8274,0.5479,-0.1368,-0.0918,1.0615,0.1454,0.9713,0.7869,-0.5736,-1.3717
aml_ohsu_2018_15-00763,0.3462,-1.8509,-1.1701,0.3202,-0.9293,-4.2192,0.3974,0.3512,0.1572,0.7097,0.6431,1.0187,-0.2175,0.6105,0.739,0.4372,0.8717,1.2365,0.6915
TCGA-AB-3008-03,-0.2401,-0.016,1.8683,-0.7543,0.1323,-1.3954,-0.4462,-0.8208,-0.9706,-0.3697,-0.8984,-0.4858,-1.4327,-0.2755,-0.3331,0.3885,0.1808,-0.2554,-0.5329
TCGA-AB-2841-03,2.7663,-0.311,-0.5494,5.8434,-1.5143,-1.226,6.0879,2.0143,2.0851,-0.4534,2.7814,6.552,1.2077,5.072,4.1076,3.5352,1.8741,3.3803,0.0936
TCGA-AB-2991-03,4.9556,-0.3774,-0.1327,1.4826,-1.617,-1.1205,3.0815,2.2707,0.6148,0.8549,2.4523,3.0008,0.4864,1.5536,3.5768,3.2728,0.931,1.9447,-0.1944
TCGA-AB-2981-03,-0.4727,-0.5097,-0.3069,-0.2111,-1.3279,-0.7206,-0.4379,-0.3701,2.4882,0.9302,-0.7864,-0.4623,1.1436,-0.6804,-0.6444,-0.464,-0.2447,-0.9567,-0.562
TCGA-AB-2898-03,0.1362,1.0307,0.0952,-0.0397,0.1009,0.2272,0.7212,-0.1535,-0.527,-0.7657,-0.1761,-0.5308,-0.7332,1.2159,-0.1879,-0.2453,0.6792,1.5658,0.8048
