SAMPLE_ID,AGRN,ARHGEF10,ATP13A2,CFD,CHD3,CHIC1,ELANE,FNDC3B,GLB1,ITFG1,LPPR3,LTK,MAP3K1,MICALL2,MPO,OSBPL5,PPP1R26,SLC25A29,SLC29A2
TCGA-AB-2937-03,0.7019,-0.3327,-0.6239,-0.2096,-0.5549,-1.3623,-0.3498,-0.1835,1.6599,-1.7862,-0.0019,-0.0537,-0.8239,0.4386,0.9114,-0.3861,0.9836,0.4241,0.2896
aml_ohsu_2018_14-00774,-1.2514,-0.2137,0.4652,-2.0183,1.3514,0.577,-0.6012,-1.7678,-2.7015,-1.7079,-2.7618,-2.5492,-1.2917,-1.671,-0.8996,-1.6036,-3.4074,0.0541,1.5397
aml_ohsu_2018_14-00901,-0.3044,0.9211,0.1782,-2.8199,0.1759,0.5686,-3.1611,-4.427,-2.0307,-0.6762,-4.4497,-1.1022,-0.5577,-2.7013,-3.3568,-0.8628,-3.4074,0.4722,0.9794
TCGA-AB-2811-03,-0.1357,-0.5259,0.8213,2.3615,-0.9387,-0.9151,-0.1481,-0.8207,-0.936,-2.7,0.7864,-0.0173,-0.7517,2.1348,-0.5176,0.6446,-0.4775,1.9202,0.4852
TCGA-AB-2889-03,-0.2899,-0.3847,-1.0449,0.6343,-0.6508,-0.9086,-0.0973,-0.4571,0.3537,0.1032,0.0426,-0.4083,-0.4134,0.6566,0.5896,-0.2934,-0.1419,0.423,-0.6624
TCGA-AB-2887-03,-0.1105,1.8034,1.5512,-0.7427,1.7167,0.7435,-0.4281,-0.786,-1.0286,-0.9428,-0.7941,-0.5137,-0.7628,-0.3717,-0.2546,-0.5961,-1.2359,0.4763,2.2318
TCGA-AB-2824-03,0.2382,-0.3753,0.9588,-0.0844,-0.6809,-0.5359,-0.383,-0.1463,-0.3887,-0.9151,0.1094,-0.2914,-1.0593,0.204,-0.5411,-0.1828,0.2759,-0.8469,-0.1076
aml_ohsu_2018_16-00273,-0.7155,-1.9667,-0.9686,0.2825,0.0171,0.7616,-1.5973,0.0237,-0.2982,-0.4286,-0.1177,0.4871,0.3872,0.5662,0.0773,0.4218,0.4508,1.237,0.3884
TCGA-AB-2869-03,0.4416,-0.4821,-0.195,-0.1103,-0.9672,0.4938,-0.2315,-0.0651,-0.4825,0.1684,0.4262,-0.459,0.2603,-0.5328,-0.4429,0.163,0.8711,0.2723,0.5731
TCGA-AB-2825-03,-0.3184,-0.4883,0.5973,-0.191,0.1131,-0.386,-0.4443,-0.3111,1.509,0.8083,-0.6253,-0.4117,0.579,-0.2615,-0.6265,-0.541,0.7659,-0.7883,-0.4879
TCGA-AB-2983-03,-0.5464,0.3163,0.4459,-0.3438,1.7285,1.2339,-0.4237,-0.6202,-1.069,-0.1911,-0.4981,-0.4244,0.123,-0.2724,-0.6463,-0.5821,-1.1286,-0.3666,-0.5293
aml_ohsu_2018_15-00237,-0.4111,-1.9667,1.031,0.7214,-0.1594,-0.0169,0.5719,-0.0777,0.3771,-1.0575,0.9108,0.1471,0.2477,0.8919,-0.2727,0.7539,1.0418,0.8989,0.997
aml_ohsu_2018_14-00355,0.1377,-1.9667,0.3998,0.6745,0.7226,0.6514,0.1512,0.2318,0.3049,0.405,0.4325,0.3513,1.541,0.1604,-1.6504,0.1697,0.2599,-0.6834,-1.8766
aml_ohsu_2018_13-00659,0.8951,-1.8123,-0.1771,0.6355,0.4244,-4.5041,0.757,0.4165,1.7162,1.0771,0.8631,0.917,0.4657,-0.0233,0.7098,1.0142,0.0616,-0.8514,-1.0597
TCGA-AB-2854-03,-0.3759,0.634,-0.9081,-0.429,0.7414,0.228,-0.2791,-0.332,-0.571,-1.563,-0.3331,-0.535,-1.5108,-0.5792,-0.4191,-0.4899,-1.0127,-0.6413,-0.1349
aml_ohsu_2018_15-00338,1.7804,1.1338,1.8314,1.7175,-0.654,-4.5041,0.7742,0.9583,0.3002,0.2359,0.4915,1.2028,0.3494,1.1606,1.0696,0.539,0.354,-0.5222,-0.9151
TCGA-AB-2900-03,-0.2416,-0.5348,0.4958,0.3679,-0.3569,0.0062,-0.3546,-0.3778,0.3285,0.232,-0.3644,-0.2213,-0.9534,1.7185,-0.2098,0.2595,0.5518,-0.8298,-0.5874
TCGA-AB-3012-03,3.2629,-0.0558,-0.8424,2.6881,-1.2155,-1.2928,3.669,3.7606,2.0668,1.6046,2.8092,2.2263,2.2098,2.1302,3.4133,2.6899,0.3474,1.5032,-0.3636
TCGA-AB-2863-03,-0.4836,2.5609,-1.3342,-0.6548,-0.8684,0.6952,-0.3579,0.9142,0.1519,1.9154,-0.7815,-0.5455,0.1286,-1.114,-0.4017,-1.0332,0.0874,0.1369,0.3237
TCGA-AB-2992-03,-0.4281,0.3265,-0.0526,-0.1989,0.3187,-0.3242,0.7135,0.2092,0.8124,0.2875,-0.1206,-0.5066,0.5817,-0.2858,0.1715,-0.1242,-0.2899,0.2556,-0.4629
TCGA-AB-2925-03,0.4023,-0.4682,0.6286,0.9104,0.6658,-0.8931,0.0446,-0.2595,1.9834,0.0429,0.9715,-0.2673,-0.9203,0.849,0.048,1.6707,1.512,-0.5035,-0.2114
aml_ohsu_2018_16-00157,0.8675,-1.6765,0.4863,0.7727,0.0158,0.0198,0.7159,1.138,1.2431,0.8107,0.8521,0.2955,0.0019,1.1234,0.5905,1.3889,0.8861,0.4818,-0.7913
aml_ohsu_2018_16-00699,0.1918,0.9541,-0.2919,-0.9734,1.3373,0.2225,-1.0383,0.5257,0.0838,0.7456,-1.0792,-1.7469,0.0483,-2.0708,0.5905,-1.6405,-3.4074,0.6388,0.4347
aml_ohsu_2018_15-00479,0.1636,0.1661,-1.2409,0.5113,1.7167,-1.8226,-2.3207,-1.4545,-0.3353,0.4727,-0.0606,1.3009,-1.283,-0.2177,-2.7099,0.3689,-2.3413,-0.9071,0.8622
aml_ohsu_2018_15-00303,-1.0546,-1.9667,-0.5547,0.4912,-1.0625,-0.1342,-0.4125,-0.6696,0.3065,0.6081,-0.8614,0.5247,0.873,0.2961,0.2258,0.0969,0.7703,0.4518,-1.1816
aml_ohsu_2018_13-00602,0.7868,-1.9667,0.1815,0.2079,0.4463,-4.5041,-0.5321,-0.109,1.167,1.0316,-1.1991,0.8079,1.2541,-0.1677,0.5994,0.135,0.2919,-0.3446,-2.8086
TCGA-AB-3002-03,0.1497,3.9393,-0.4913,-0.5909,0.0803,1.0054,-0.3156,-0.6094,-0.2164,0.0769,-0.5493,-0.5093,-1.2129,-0.9806,-0.5658,-0.7028,-1.0818,-0.2502,-0.204
aml_ohsu_2018_15-00331,0.8142,-1.9667,-1.169,0.2825,-1.0591,-4.3258,0.5408,-0.3839,-0.0515,0.3607,-0.1802,0.8023,2.0481,0.1508,0.5142,-1.3012,0.2245,0.2238,-0.2802
aml_ohsu_2018_16-01049,0.464,-0.9291,-2.4178,0.923,-0.0674,-0.6565,0.8125,0.4692,-0.5778,-0.9714,0.4562,-0.8349,0.4583,0.3931,0.4022,-0.0612,0.2906,-1.2473,-0.0602
aml_ohsu_2018_13-00625,-0.0188,1.201,1.1838,-0.4818,0.955,-0.9597,0.3277,-1.1804,-0.823,-0.9165,-0.4586,0.1679,-0.2625,0.0169,0.724,-1.1944,-3.4074,-0.7098,0.5401
TCGA-AB-2814-03,-0.3188,8.2567,0.2127,-0.7193,0.4171,2.5287,-0.4568,-0.5251,-1.569,-0.4463,-0.8799,-0.5505,-1.4268,-1.2419,-0.6502,-0.951,-1.2788,-0.7876,0.9902
aml_ohsu_2018_13-00396,-0.4978,1.3035,1.3773,0.3176,-0.2042,0.1767,0.5901,0.186,1.049,0.3918,0.2054,-3.2554,1.0187,-0.7357,-0.445,-0.1804,-3.1784,0.173,0.7449
TCGA-AB-2932-03,-0.477,-0.4991,1.0488,1.255,0.9005,-0.2542,-0.4486,-0.1513,2.599,1.5436,0.0414,-0.4031,-0.4476,1.5271,-0.5493,0.5894,1.2718,-0.1752,-0.4951
TCGA-AB-2972-03,1.9239,-0.4867,-0.2546,-0.6377,-1.3805,1.1618,-0.4535,-0.7245,-0.9824,-0.4643,-0.1186,0.0408,-0.407,0.9176,-0.5547,-0.6877,-0.1659,-0.7033,-0.4764
aml_ohsu_2018_15-00674,0.8199,-0.3049,-0.2733,0.0996,-0.3275,-1.4967,0.4163,-0.5871,-0.3733,0.3521,-0.6123,-0.0145,0.4576,-0.5015,0.3221,-1.0426,-1.5835,-1.1215,-1.3927
TCGA-AB-2882-03,0.2384,0.2143,0.191,-0.5402,1.544,1.201,-0.4214,-0.3532,-0.598,-2.1739,-0.7274,-0.4236,-0.8034,-0.82,-0.2959,-0.5544,0.9731,-0.3639,0.3505
TCGA-AB-2941-03,-0.5696,1.5501,2.1926,-0.7621,-1.597,0.1803,-0.441,-0.8436,-1.0468,-1.6443,-0.8975,0.1925,-0.7265,-0.8602,-0.6464,-1.0343,-0.8505,-0.8347,2.0397
TCGA-AB-2971-03,-0.4783,-0.0189,-1.006,0.1771,1.1976,1.3485,-0.1181,0.0377,0.3654,1.0049,0.1448,-0.512,2.4009,-0.9383,-0.5103,1.1298,0.7431,0.1015,-0.4924
TCGA-AB-2862-03,4.9424,-0.3308,-0.1021,2.0831,-0.307,-1.2741,0.9176,-0.0349,-0.1147,-0.6887,3.417,2.822,0.4916,1.8068,2.5041,2.4454,2.895,3.02,-0.472
TCGA-AB-2885-03,-0.5575,0.5884,3.3874,-0.771,0.8502,0.419,-0.4513,-0.911,-2.2173,-0.2467,-0.8902,-0.5272,-1.0471,-1.1664,-0.6475,-0.2443,-1.2972,-0.7133,0.4612
aml_ohsu_2018_15-00470,1.5195,1.7363,-3.5568,1.1637,-2.635,-4.5041,1.0893,1.8045,-0.6542,-0.1103,0.7021,1.05,0.3374,0.9839,1.1734,0.4609,0.234,0.7306,0.8047
TCGA-AB-2832-03,-0.1446,0.6561,-0.3432,-0.6925,3.9272,-0.443,-0.4564,-0.8611,-0.4062,-0.5065,-0.8046,2.0624,-1.5802,-1.0342,-0.6504,0.4783,-0.9285,0.066,1.1291
TCGA-AB-2860-03,0.0795,1.4128,0.6128,-0.4606,-1.0522,-0.6569,-0.3923,0.1986,0.5369,1.2107,-0.0958,-0.5239,-0.1668,0.2888,-0.5641,-0.3502,-1.1792,-0.6447,0.0887
aml_ohsu_2018_15-00693,-1.7005,-1.7185,0.0037,0.4912,0.4839,-0.2529,-0.8866,-1.2258,1.3719,0.3971,-0.8746,-0.2222,1.0787,-0.0903,-2.2321,-0.5456,-1.8698,-0.6968,-0.8824
aml_ohsu_2018_13-00365,-0.2775,0.7359,-0.6683,-1.3232,0.2327,1.4337,0.2856,-2.8731,-1.7615,-1.9921,-0.9371,0.6575,0.6305,-1.4179,-0.445,1.1585,-1.9749,-0.8122,1.4236
aml_ohsu_2018_16-00867,0.532,-0.1511,0.0493,0.923,1.0035,0.3887,0.5435,0.457,0.3319,0.2339,1.1449,-0.3863,1.7084,-0.1145,0.739,0.9384,0.9136,1.4965,1.0837
TCGA-AB-2924-03,-0.1029,-0.5141,-0.48,0.2447,-1.3751,0.4001,-0.3829,0.1375,1.3199,1.0673,-0.1225,-0.3586,-0.273,1.3842,-0.571,-0.0903,0.3872,-0.5454,-0.547
TCGA-AB-2819-03,-0.3626,-0.2909,-1.3052,-0.3306,-1.469,-1.2687,0.8661,0.3903,-0.0311,0.5224,0.8532,-0.35,-0.174,0.2265,0.809,-0.7971,-1.1686,-0.2904,-0.554
TCGA-AB-2874-03,0.0111,-0.4589,-1.1297,-0.0549,-0.73,-0.1107,-0.0453,1.5232,1.3239,0.4275,0.3793,0.2019,0.6747,-0.589,2.2605,1.5269,1.9497,0.3728,-0.6229
TCGA-AB-2949-03,-0.0272,0.5207,-0.5027,-0.4473,0.1392,1.3199,-0.2932,-0.5718,-0.951,0.3489,-0.425,-0.5354,-0.9826,-0.0997,-0.5769,-0.5876,-0.056,-0.0621,0.4938
TCGA-AB-2970-03,-0.473,-0.1618,0.2271,-0.6456,0.6741,0.3257,-0.4325,-0.7491,-0.7894,0.4933,-0.7981,-0.2368,0.1183,-0.797,-0.6276,-0.8025,-1.2001,-0.5481,-0.5039
aml_ohsu_2018_14-00781,0.3317,0.6746,1.0091,0.1646,-0.0674,-2.0699,0.4423,1.4373,1.7914,0.7378,0.462,1.0554,0.2074,0.1754,0.6181,0.1701,0.7268,-2.0434,0.4428
TCGA-AB-2865-03,0.266,-0.1226,1.3907,-0.704,0.702,-0.6312,-0.428,-0.818,0.4019,-0.01,-0.8941,-0.53,-0.8137,-0.531,-0.5143,-0.8233,-0.2203,-0.5506,0.6634
aml_ohsu_2018_15-00616,-3.4955,-0.1021,1.9744,-2.0869,-0.0352,0.2301,0.9372,-1.0399,-0.4006,-0.8298,-0.3507,0.9052,-0.9545,0.6731,0.4122,-0.4857,0.8207,0.3343,0.9902
TCGA-AB-2917-03,-0.5785,0.5481,-0.7258,-0.755,-0.905,2.3738,-0.4374,-0.6455,-1.5782,0.1789,-0.8579,-0.5238,0.1643,-1.2158,-0.5529,-1.2721,-0.6793,-1.1076,-0.4042
TCGA-AB-2855-03,0.1382,-0.4849,0.5519,-0.4354,-0.1954,-0.4911,-0.4542,0.1394,-0.5726,-0.5177,-0.9052,-0.3165,-0.4887,-1.1245,-0.514,-0.9397,0.6855,-0.5832,-0.6573
TCGA-AB-2875-03,1.9093,-0.3453,-1.1782,0.9412,-0.4452,-0.9161,0.5515,0.314,-0.3441,0.1607,0.5484,-0.211,0.7145,0.7387,0.9399,0.1186,-0.3577,0.7568,-0.4314
TCGA-AB-2909-03,0.0594,0.7569,0.064,-0.364,0.0948,0.0318,-0.3217,-0.4477,-1.1878,-1.0053,-0.7298,2.2275,-0.5864,-0.3876,-0.3343,-0.5338,0.9524,1.0044,0.5052
TCGA-AB-2866-03,-0.3487,-0.2472,-0.3252,0.6031,1.7778,-0.3891,-0.3533,-0.5623,0.2295,-0.1416,0.0232,-0.4332,-0.096,0.037,-0.5978,0.6899,0.9962,-0.5272,-0.6213
TCGA-AB-2828-03,-0.5035,-0.4199,-0.8177,-0.318,-0.9343,-1.4306,-0.2442,-0.3128,0.0938,0.8668,-0.4513,-0.2092,1.4252,-0.747,-0.1692,-1.0129,-0.6,-0.8801,-0.6935
TCGA-AB-2848-03,-0.287,-0.2924,-0.0449,0.6395,1.957,-0.0568,-0.2915,0.064,0.6869,-1.0265,0.2536,-0.4839,1.2572,-0.575,-0.453,1.3745,0.7167,-0.1367,-0.3582
TCGA-AB-2896-03,-0.5051,-0.4106,0.827,0.0356,0.228,0.2727,-0.4512,-0.6285,-0.3497,-0.4742,-0.121,-0.2982,-0.6765,-0.5248,-0.6079,0.0018,0.3263,-0.4271,0.3552
TCGA-AB-3009-03,-0.3215,-0.179,0.7972,-0.4526,0.1897,0.8578,0.0245,0.2371,1.2138,0.9344,-0.8647,-0.4941,1.2277,-0.5668,0.9608,-0.278,0.5297,0.3553,0.0672
TCGA-AB-2964-03,-0.5744,-0.4097,-0.96,-0.4726,-0.4277,0.0617,-0.2141,-0.1407,-0.9713,0.2721,0.6235,-0.4814,0.1706,-0.0891,-0.4733,0.2027,0.6304,-0.2715,-0.35
TCGA-AB-2803-03,-0.0026,-0.0549,-0.5493,2.0742,-0.7912,-1.1698,3.154,2.8748,-0.3746,-0.1721,0.8686,0.9509,-0.1907,1.6904,1.6904,1.1025,-0.0613,0.8526,-0.6093
aml_ohsu_2018_16-00027,-0.3308,-1.9667,0.5108,-0.0687,0.3997,1.1762,-0.5183,-0.681,0.0126,0.5462,0.6327,-0.9913,-1.2677,0.3122,0.3838,0.2444,0.91,0.7931,1.1397
TCGA-AB-2928-03,0.4166,0.7131,-0.2498,-0.712,-0.4568,1.5767,-0.446,-0.4607,-0.7189,-1.1245,-0.7061,-0.4753,-0.89,-1.0137,-0.1573,-0.7569,1.3683,2.1375,3.844
TCGA-AB-2910-03,-0.3705,-0.2599,2.8984,-0.6855,1.6149,-0.7708,-0.3865,-0.5194,0.709,0.0717,0.9773,-0.4313,-0.4752,0.5163,0.0607,0.699,-1.0928,-0.8593,-0.3502
TCGA-AB-2808-03,-0.4312,-0.3697,-1.0152,-0.7331,-0.1244,-1.3585,-0.0167,-0.0744,-1.1703,-0.4077,-0.8346,-0.3898,-0.4492,-0.5689,-0.1098,-0.7492,-0.8399,-0.7322,-0.6105
aml_ohsu_2018_16-00120,1.8554,-0.6903,0.1957,1.15,-2.8201,-4.5041,0.8844,2.5354,1.9086,1.8506,0.9423,1.3329,1.1087,0.9525,1.0696,1.7343,1.066,1.1445,0.3144
TCGA-AB-2966-03,-0.2316,2.7247,0.7117,-0.7763,0.1271,0.1846,-0.4566,-0.5737,-1.2104,0.5791,-0.9074,-0.3368,-1.0639,-0.3436,-0.534,-0.9309,-1.3402,-0.7384,-0.6211
aml_ohsu_2018_14-00643,0.9712,0.0384,-3.0451,0.888,-1.2658,-0.718,0.9256,1.3596,0.7449,0.5591,0.7521,0.249,-0.0843,1.0583,0.9187,0.7085,-0.5215,0.9626,0.1931
aml_ohsu_2018_13-00232,0.4032,-1.9667,0.0672,-0.102,0.0906,-4.5041,0.6373,0.2026,1.0899,0.4845,0.1335,1.0,-0.1863,0.6178,0.9185,1.3042,0.2113,0.562,-2.0117
TCGA-AB-2881-03,-0.4429,-0.3862,-0.9039,0.0255,-0.6679,-0.7931,-0.2823,-0.3375,0.1445,0.3242,-0.3984,-0.2199,0.5126,0.2663,0.0364,-0.5441,-0.2218,0.4962,-0.6089
aml_ohsu_2018_14-00564,-1.1469,1.2023,1.6258,0.023,-2.0335,-1.0295,0.8267,0.7814,0.3722,0.8231,0.5845,-0.1684,-1.8782,0.6004,0.6836,-0.0496,-0.1569,-0.8551,1.3506
TCGA-AB-2830-03,-0.1803,0.4142,1.8536,-0.2347,0.3665,0.0985,-0.4159,-0.5652,-0.4174,-0.5507,-0.2482,-0.2998,-0.231,-0.4106,0.1227,-0.5262,-0.7298,-0.4272,0.8939
TCGA-AB-2853-03,-0.4914,-0.4606,-0.9713,-0.5738,-0.8309,1.1879,-0.3907,0.2214,-0.5086,0.9019,0.0284,-0.0915,-0.5345,-0.0597,-0.6415,-0.5234,0.0407,-0.5461,-0.1194
aml_ohsu_2018_14-00632,0.8562,-1.8896,-0.1881,0.2191,0.2541,-0.5592,0.6062,-0.1404,0.8453,0.7398,-0.0108,0.9914,0.4776,0.5707,0.5905,0.0328,0.5372,-0.2938,0.8136
aml_ohsu_2018_14-00787,-0.0808,-0.3597,0.2865,-1.575,0.7582,-4.5041,-0.8314,-0.4635,-0.2776,-0.2535,-1.1535,1.2693,-1.0994,0.6001,0.724,1.2795,-0.0348,1.623,-2.9355
TCGA-AB-2838-03,-0.4884,-0.2998,1.3915,-0.6569,-1.066,0.4564,-0.3068,-0.0262,0.2386,-1.0374,-0.5182,-0.5382,0.264,-0.6231,-0.4214,-0.3107,-0.9369,-0.5161,0.9386
aml_ohsu_2018_15-00615,-0.4257,-1.9667,0.0282,0.9613,0.1918,-0.8127,0.7357,0.4194,0.7495,-0.3986,0.4422,0.0622,-0.2894,1.077,0.6964,1.6327,0.8531,0.7355,-1.0655
aml_ohsu_2018_13-00165,-0.2353,-1.9667,1.0334,0.3876,0.6256,0.4423,-0.2254,-0.4947,-0.0329,0.1518,0.3531,0.1022,-1.3582,0.2953,0.0606,0.5951,0.7653,0.7471,1.0813
TCGA-AB-2930-03,-0.3863,-0.3579,1.0606,-0.6387,1.4526,-0.5495,-0.3129,-0.4956,-0.3026,-0.6147,-0.4793,0.6949,-0.5455,0.1621,0.0292,-0.1988,-1.3025,-0.1437,0.8533
TCGA-AB-2990-03,-0.2831,-0.4204,-0.4609,0.4665,0.1558,-0.2913,-0.3254,0.3909,0.2081,-0.246,1.1895,-0.5103,1.3092,-0.1312,0.3094,0.9086,1.2758,-0.0158,-0.4527
TCGA-AB-2849-03,-0.0772,0.0181,-0.4388,-0.7714,-0.9411,3.3286,-0.4561,-0.6454,-1.0557,1.3773,-0.9056,-0.3336,-0.0661,-1.1795,-0.646,-0.9335,0.4019,-0.6624,0.1504
TCGA-AB-2908-03,-0.0654,2.6273,1.8489,-0.3589,-0.7242,0.7135,-0.3253,-0.4877,-1.4242,-0.757,-0.6476,-0.4295,-1.5297,0.4996,-0.2211,0.4842,-1.1574,0.7866,0.2584
aml_ohsu_2018_13-00204,1.97,0.774,-0.2626,1.05,-1.8966,-1.1167,0.9144,2.1983,1.5408,1.0462,1.0008,1.1686,0.6224,0.0369,1.173,1.4103,0.6553,1.0651,0.066
TCGA-AB-2996-03,-0.316,-0.2117,-0.7995,0.5121,0.2866,0.6967,0.0728,0.1453,0.0617,0.4412,-0.3524,-0.3746,0.4159,0.3316,-0.2749,-0.9165,0.0994,-0.3106,-0.3571
aml_ohsu_2018_14-00567,0.8517,-1.9667,-0.528,0.8238,0.0496,-4.5041,-0.4085,0.5092,0.9155,1.1099,0.9416,-0.4241,0.5087,1.0307,0.4217,1.0961,1.0838,1.2423,0.4328
TCGA-AB-2904-03,-0.3026,1.4907,1.964,-0.7347,-0.2932,0.7153,-0.4506,-0.2713,-0.9032,0.7483,-0.8066,-0.4863,-1.1867,-0.5854,-0.6338,-1.0622,-0.5882,-0.6218,3.3493
aml_ohsu_2018_15-00688,-0.714,1.2488,-0.2795,-0.9289,-0.2962,0.739,0.3222,0.2898,0.2231,-0.2856,-0.1168,-1.0619,-0.2894,-1.4891,0.5911,-1.192,-3.3979,-0.0853,0.5359
aml_ohsu_2018_15-00724,0.8521,-1.9667,0.0688,0.7413,0.3653,-1.6078,0.505,-0.4846,-0.4641,-0.6677,0.6974,-0.9972,-0.1384,1.374,0.628,0.2841,0.8845,0.4664,-2.9355
TCGA-AB-2933-03,-0.6001,0.102,0.6727,-0.6767,-0.7832,0.0571,-0.3559,-0.6911,-0.0798,-0.6132,-0.8429,-0.4968,0.3053,-1.1018,-0.5514,-1.0946,-0.8254,-0.9894,-0.1679
TCGA-AB-2939-03,0.2762,-0.1128,-0.2635,-0.4701,1.3616,0.9644,-0.4487,0.071,-0.1544,0.7719,-0.504,-0.178,-0.6923,0.4796,1.172,-0.4158,-0.8201,0.3817,-0.313
TCGA-AB-2979-03,-0.0482,-0.1643,1.3662,-0.6581,1.1722,-1.3867,-0.374,-0.625,-0.1623,-1.4717,-0.787,1.3877,-1.4176,2.7922,0.9559,1.617,-0.9477,0.9846,-0.5979
aml_ohsu_2018_14-00041,0.2817,-0.6084,-0.4562,-0.7151,0.7364,1.0121,0.505,-0.2995,-1.1699,-0.3935,-1.1166,0.1089,0.8493,-0.9746,0.1101,-0.2878,0.0883,0.2007,1.0879
aml_ohsu_2018_14-00359,-0.2578,-1.9667,-0.1793,0.5609,-0.9414,-4.5041,0.5631,0.0054,1.1489,1.5774,0.3599,0.8856,0.4054,0.4909,0.6964,0.2537,0.6364,0.2532,-2.9355
TCGA-AB-2946-03,-0.5537,-0.4251,-0.5144,-0.6491,-0.9939,-1.2049,-0.3384,-0.5486,0.3952,0.7044,-0.7592,0.0611,-0.818,0.0657,0.0079,-0.0797,-0.6196,-0.4059,-0.6841
aml_ohsu_2018_15-00261,-0.4812,0.8912,0.3398,-0.0911,0.6144,-0.5189,0.0786,-1.465,0.5163,0.2366,-2.0707,-2.7838,0.409,-1.5717,-1.7871,-1.5272,-1.6443,0.9263,0.8565
TCGA-AB-2927-03,-0.5173,1.032,0.7211,-0.6468,2.0156,0.3397,-0.4093,-0.8636,-0.8041,-0.8188,-0.868,-0.517,-0.4204,-0.7599,-0.6463,-0.6528,-1.247,0.4944,0.4051
aml_ohsu_2018_15-00123,0.5745,-1.9667,0.1989,0.6069,-1.1448,0.6207,0.3486,0.5546,0.0593,0.5075,0.743,1.0573,0.4727,0.6756,0.3147,0.2996,0.5668,0.9027,0.1234
TCGA-AB-3005-03,0.1634,0.0456,0.9528,-0.1763,0.9447,-0.6051,-0.4082,-0.3879,2.1077,0.3771,0.9231,3.2007,-1.536,-0.6337,-0.5175,0.2999,-0.6157,-0.7626,0.6679
TCGA-AB-2846-03,-0.3516,-0.3029,-0.9184,0.3125,-0.3361,-1.3699,0.241,-0.1522,0.9476,-0.1715,0.2353,-0.1773,0.1821,0.1063,0.2081,-0.2857,-0.1364,0.185,-0.4765
aml_ohsu_2018_13-00195,-0.0191,-1.9667,-0.0471,1.1762,-0.1851,0.3881,0.5381,0.7009,0.8405,0.8482,0.5728,-0.9154,0.7739,0.693,-0.718,0.8342,0.7167,-0.2516,-1.4672
TCGA-AB-2816-03,-0.4726,-0.4756,-0.6428,0.1028,-1.8198,-0.8151,-0.4136,-0.1571,0.5686,-0.4494,-0.5495,-0.5074,0.2799,-0.8286,-0.5838,-0.542,-0.3716,-0.5693,-0.6272
aml_ohsu_2018_13-00393,0.7254,1.1323,-2.171,0.2608,-0.2018,0.2109,0.894,1.0444,-0.6779,-0.8298,0.4073,-1.0039,-1.1749,0.4351,0.6715,-0.5971,-0.025,-0.6783,0.5656
TCGA-AB-2912-03,-0.461,0.3762,-0.7131,-0.6284,1.3103,0.2801,-0.409,0.1958,-0.5377,1.7287,-0.8112,-0.5366,1.3508,-0.6909,-0.6361,-1.1145,-0.8766,-1.1105,-0.343
aml_ohsu_2018_13-00163,1.1987,-0.4344,-0.5318,1.0402,-1.6059,-4.5041,0.9254,0.6458,1.389,0.3792,0.4598,0.8189,0.8747,1.0387,0.7098,0.5527,0.5133,0.7946,-2.6405
TCGA-AB-2988-03,-0.543,-0.3981,0.0867,-0.2423,-2.1056,0.7305,-0.4429,-0.5455,-0.5809,-0.2011,0.1995,-0.321,-0.7658,-0.2056,-0.5949,-0.1482,-0.0957,-0.6217,0.0859
TCGA-AB-2984-03,-0.4827,-0.5183,-0.8124,0.2031,-1.0491,1.9644,-0.4461,-0.1949,-1.4042,-0.2465,4.136,-0.5434,0.2323,-1.1642,-0.2431,-0.6214,-0.0016,1.7832,-0.5674
TCGA-AB-2840-03,0.9973,-0.38,-0.8641,0.6527,-0.8585,-1.2202,1.133,0.709,-1.0072,-1.5333,0.2033,0.4213,-0.2569,0.4377,0.6032,0.6291,0.2581,-0.2098,0.1007
TCGA-AB-2888-03,-0.5215,-0.446,-0.9472,-0.0994,0.3769,-0.777,-0.345,-0.5718,1.1485,0.1127,-0.7599,-0.4396,1.5186,-0.5891,-0.3777,-0.6141,-0.9156,-0.5559,-0.5429
aml_ohsu_2018_16-00271,-0.2666,-1.9667,0.3728,0.5951,0.2433,0.9274,0.0008,0.2115,-0.1469,0.6465,0.5725,1.0842,0.1262,0.7274,-0.1917,0.1803,0.5077,-0.0027,-2.1318
TCGA-AB-2982-03,1.6253,1.3263,-0.6109,3.3237,-1.1089,-0.5888,3.897,2.0947,0.0399,0.6576,1.798,2.555,1.7932,2.4639,2.7178,1.4055,1.1062,3.1119,0.1004
TCGA-AB-2807-03,-0.4242,2.4181,-0.2178,-0.7557,1.344,1.5848,-0.4377,-0.9181,-1.1195,-0.1752,-0.8679,-0.5483,-0.8855,-0.9328,-0.6337,-0.995,-1.283,-0.752,-0.1854
TCGA-AB-2842-03,-0.6013,-0.4965,-0.4676,-0.2073,0.2657,-0.638,0.6144,-0.2265,1.5197,3.3579,-0.1015,0.0212,-0.5669,-0.612,-0.6471,-0.5591,-0.1971,-1.1116,-0.635
aml_ohsu_2018_14-00152,0.6053,1.5791,-0.0357,0.368,2.7177,-0.1056,-0.1881,0.8018,-0.889,0.2688,1.2239,-0.1978,0.7098,0.7178,0.6488,0.5011,-0.2808,0.2958,0.2788
TCGA-AB-2929-03,-0.6008,0.3867,2.3899,-0.7659,2.2817,0.6868,-0.4562,-0.9965,-1.1343,-2.5208,-0.9044,-0.4481,-0.8826,-1.1879,-0.6487,-0.7129,-1.1697,-0.7165,0.0698
